Model,Rank,Average,Average-0,Average-1,Average-2,Average-3,Average-4,Average-5,Average-6,Average-7,Average-8,Average-9,Average-10,Average-11,Average-12,Average-13,Average-14,Average-15,Average-16,Average-17,Average-18,Average-19,Average-20,Average-21,Average-22,Average-23,Average-24,Average-25,Average-26,Average-27,Average-28,Average-29,Average-30,Average-31,Average-32,Average-33,Average-34,Average-35,Average-36,Average-37,Average-38,Average-39,Average-40,Average-41,Average-42,Average-43,Average-44,Average-45,Average-46,Average-47,Average-48,Average-49,Average-50,Average-51,Average-52,Average-53,Average-54,Average-55,Classification Average-0,Classification Average-1,Classification Average-2,Classification Average-3,Classification Average-4,Classification Average-5,Classification Average-6,Classification Average-7,Classification Average-8,Classification Average-9,Classification Average-10,Classification Average-11,Clustering Average-0,Clustering Average-1,Clustering Average-2,Clustering Average-3,Clustering Average-4,Clustering Average-5,Clustering Average-6,Clustering Average-7,Clustering Average-8,Clustering Average-9,Clustering Average-10,Pair Classification Average-0,Pair Classification Average-1,Pair Classification Average-2,Reranking Average-0,Reranking Average-1,Reranking Average-2,Reranking Average-3,Retrieval Average-0,Retrieval Average-1,Retrieval Average-2,Retrieval Average-3,Retrieval Average-4,Retrieval Average-5,Retrieval Average-6,Retrieval Average-7,Retrieval Average-8,Retrieval Average-9,Retrieval Average-10,Retrieval Average-11,Retrieval Average-12,Retrieval Average-13,Retrieval Average-14,STS Average-0,STS Average-1,STS Average-2,STS Average-3,STS Average-4,STS Average-5,STS Average-6,STS Average-7,STS Average-8,STS Average-9,Summarization Average-0
gte-small,27.0,61.35812500000002,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,44.89,44.89,44.89,44.89,44.89,44.89,44.89,44.89,44.89,44.89,44.89,83.54,83.54,83.54,57.7,57.7,57.7,57.7,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.46,82.07,82.07,82.07,82.07,82.07,82.07,82.07,82.07,82.07,82.07,30.42
text-embedding-ada-002,28.0,60.98839285714279,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,70.93,70.93,70.93,70.93,70.93,70.93,70.93,70.93,70.93,70.93,70.93,70.93,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,84.89,84.89,84.89,56.32,56.32,56.32,56.32,49.25,49.25,49.25,49.25,49.25,49.25,49.25,49.25,49.25,49.25,49.25,49.25,49.25,49.25,49.25,80.97,80.97,80.97,80.97,80.97,80.97,80.97,80.97,80.97,80.97,30.8
udever-bloom-7b1,29.0,60.63178571428583,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,72.13,72.13,72.13,72.13,72.13,72.13,72.13,72.13,72.13,72.13,72.13,72.13,40.81,40.81,40.81,40.81,40.81,40.81,40.81,40.81,40.81,40.81,40.81,85.4,85.4,85.4,55.91,55.91,55.91,55.91,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,83.01,83.01,83.01,83.01,83.01,83.01,83.01,83.01,83.01,83.01,30.97
e5-base,30.0,60.440535714285716,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,72.63,72.63,72.63,72.63,72.63,72.63,72.63,72.63,72.63,72.63,72.63,72.63,42.11,42.11,42.11,42.11,42.11,42.11,42.11,42.11,42.11,42.11,42.11,85.09,85.09,85.09,55.7,55.7,55.7,55.7,48.75,48.75,48.75,48.75,48.75,48.75,48.75,48.75,48.75,48.75,48.75,48.75,48.75,48.75,48.75,80.96,80.96,80.96,80.96,80.96,80.96,80.96,80.96,80.96,80.96,31.01
jina-embeddings-v2-base-en,31.0,60.37874999999993,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,73.45,73.45,73.45,73.45,73.45,73.45,73.45,73.45,73.45,73.45,73.45,73.45,41.73,41.73,41.73,41.73,41.73,41.73,41.73,41.73,41.73,41.73,41.73,85.38,85.38,85.38,56.98,56.98,56.98,56.98,47.87,47.87,47.87,47.87,47.87,47.87,47.87,47.87,47.87,47.87,47.87,47.87,47.87,47.87,47.87,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,31.6
Cohere-embed-multilingual-light-v3.0,32.0,60.07812499999992,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,60.08,70.57,70.57,70.57,70.57,70.57,70.57,70.57,70.57,70.57,70.57,70.57,70.57,41.98,41.98,41.98,41.98,41.98,41.98,41.98,41.98,41.98,41.98,41.98,83.95,83.95,83.95,55.06,55.06,55.06,55.06,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,80.09,80.09,80.09,80.09,80.09,80.09,80.09,80.09,80.09,80.09,30.41
e5-small-v2,33.0,59.93241071428571,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,72.94,72.94,72.94,72.94,72.94,72.94,72.94,72.94,72.94,72.94,72.94,72.94,39.92,39.92,39.92,39.92,39.92,39.92,39.92,39.92,39.92,39.92,39.92,84.67,84.67,84.67,54.32,54.32,54.32,54.32,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,80.39,80.39,80.39,80.39,80.39,80.39,80.39,80.39,80.39,80.39,31.16
udever-bloom-3b,34.0,59.8604464285714,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,71.91,71.91,71.91,71.91,71.91,71.91,71.91,71.91,71.91,71.91,71.91,71.91,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,84.06,84.06,84.06,54.9,54.9,54.9,54.9,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,82.37,82.37,82.37,82.37,82.37,82.37,82.37,82.37,82.37,82.37,30.62
instructor-base,35.0,59.53874999999994,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,72.36,72.36,72.36,72.36,72.36,72.36,72.36,72.36,72.36,72.36,72.36,72.36,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,83.51,83.51,83.51,56.2,56.2,56.2,56.2,45.12,45.12,45.12,45.12,45.12,45.12,45.12,45.12,45.12,45.12,45.12,45.12,45.12,45.12,45.12,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,29.85
sentence-t5-xxl,36.0,59.51214285714292,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,73.42,73.42,73.42,73.42,73.42,73.42,73.42,73.42,73.42,73.42,73.42,73.42,43.72,43.72,43.72,43.72,43.72,43.72,43.72,43.72,43.72,43.72,43.72,85.06,85.06,85.06,56.42,56.42,56.42,56.42,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.24,82.63,82.63,82.63,82.63,82.63,82.63,82.63,82.63,82.63,82.63,30.08
multilingual-e5-base,37.0,59.44830357142861,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,59.45,73.02,73.02,73.02,73.02,73.02,73.02,73.02,73.02,73.02,73.02,73.02,73.02,37.89,37.89,37.89,37.89,37.89,37.89,37.89,37.89,37.89,37.89,37.89,83.57,83.57,83.57,54.84,54.84,54.84,54.84,48.88,48.88,48.88,48.88,48.88,48.88,48.88,48.88,48.88,48.88,48.88,48.88,48.88,48.88,48.88,80.26,80.26,80.26,80.26,80.26,80.26,80.26,80.26,80.26,80.26,30.11
XLM-3B5-embedding,38.0,59.288035714285634,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,72.25,72.25,72.25,72.25,72.25,72.25,72.25,72.25,72.25,72.25,72.25,72.25,43.48,43.48,43.48,43.48,43.48,43.48,43.48,43.48,43.48,43.48,43.48,79.23,79.23,79.23,57.12,57.12,57.12,57.12,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,80.47,80.47,80.47,80.47,80.47,80.47,80.47,80.47,80.47,80.47,29.02
gtr-t5-xxl,39.0,58.96874999999991,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,67.41,67.41,67.41,67.41,67.41,67.41,67.41,67.41,67.41,67.41,67.41,67.41,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,86.12,86.12,86.12,56.66,56.66,56.66,56.66,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,78.38,78.38,78.38,78.38,78.38,78.38,78.38,78.38,78.38,78.38,30.64
SGPT-5.8B-weightedmean-msmarco-specb-bitfit,40.0,58.92705357142862,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,58.93,68.13,68.13,68.13,68.13,68.13,68.13,68.13,68.13,68.13,68.13,68.13,68.13,40.34,40.34,40.34,40.34,40.34,40.34,40.34,40.34,40.34,40.34,40.34,82.0,82.0,82.0,56.56,56.56,56.56,56.56,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,31.46
e5-small,41.0,58.8908035714286,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,39.51,39.51,39.51,39.51,39.51,39.51,39.51,39.51,39.51,39.51,39.51,85.08,85.08,85.08,54.45,54.45,54.45,54.45,46.01,46.01,46.01,46.01,46.01,46.01,46.01,46.01,46.01,46.01,46.01,46.01,46.01,46.01,46.01,80.87,80.87,80.87,80.87,80.87,80.87,80.87,80.87,80.87,80.87,31.39
gte-tiny,42.0,58.68991071428577,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,70.35,70.35,70.35,70.35,70.35,70.35,70.35,70.35,70.35,70.35,70.35,70.35,42.09,42.09,42.09,42.09,42.09,42.09,42.09,42.09,42.09,42.09,42.09,82.83,82.83,82.83,55.77,55.77,55.77,55.77,44.92,44.92,44.92,44.92,44.92,44.92,44.92,44.92,44.92,44.92,44.92,44.92,44.92,44.92,44.92,80.46,80.46,80.46,80.46,80.46,80.46,80.46,80.46,80.46,80.46,29.47
gtr-t5-xl,43.0,58.422232142857226,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,67.11,67.11,67.11,67.11,67.11,67.11,67.11,67.11,67.11,67.11,67.11,67.11,41.51,41.51,41.51,41.51,41.51,41.51,41.51,41.51,41.51,41.51,41.51,86.13,86.13,86.13,55.96,55.96,55.96,55.96,47.96,47.96,47.96,47.96,47.96,47.96,47.96,47.96,47.96,47.96,47.96,47.96,47.96,47.96,47.96,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,30.21
udever-bloom-1b1,44.0,58.288303571428614,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,58.29,70.17,70.17,70.17,70.17,70.17,70.17,70.17,70.17,70.17,70.17,70.17,70.17,39.11,39.11,39.11,39.11,39.11,39.11,39.11,39.11,39.11,39.11,39.11,83.11,83.11,83.11,54.28,54.28,54.28,54.28,45.27,45.27,45.27,45.27,45.27,45.27,45.27,45.27,45.27,45.27,45.27,45.27,45.27,45.27,45.27,81.52,81.52,81.52,81.52,81.52,81.52,81.52,81.52,81.52,81.52,31.1
gtr-t5-large,45.0,58.27732142857143,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,85.32,85.32,85.32,55.36,55.36,55.36,55.36,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,78.19,78.19,78.19,78.19,78.19,78.19,78.19,78.19,78.19,78.19,29.5
jina-embeddings-v2-small-en,46.0,58.00053571428577,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,40.08,40.08,40.08,40.08,40.08,40.08,40.08,40.08,40.08,40.08,40.08,84.44,84.44,84.44,55.09,55.09,55.09,55.09,45.14,45.14,45.14,45.14,45.14,45.14,45.14,45.14,45.14,45.14,45.14,45.14,45.14,45.14,45.14,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,30.56
XLM-0B6-embedding,47.0,57.971250000000104,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,70.55,70.55,70.55,70.55,70.55,70.55,70.55,70.55,70.55,70.55,70.55,70.55,42.97,42.97,42.97,42.97,42.97,42.97,42.97,42.97,42.97,42.97,42.97,77.83,77.83,77.83,55.6,55.6,55.6,55.6,43.39,43.39,43.39,43.39,43.39,43.39,43.39,43.39,43.39,43.39,43.39,43.39,43.39,43.39,43.39,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,30.25
multilingual-e5-small,48.0,57.86883928571429,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,70.74,70.74,70.74,70.74,70.74,70.74,70.74,70.74,70.74,70.74,70.74,70.74,37.08,37.08,37.08,37.08,37.08,37.08,37.08,37.08,37.08,37.08,37.08,82.59,82.59,82.59,53.87,53.87,53.87,53.87,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,29.98
sentence-t5-xl,49.0,57.86714285714288,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,72.84,72.84,72.84,72.84,72.84,72.84,72.84,72.84,72.84,72.84,72.84,72.84,42.34,42.34,42.34,42.34,42.34,42.34,42.34,42.34,42.34,42.34,42.34,86.06,86.06,86.06,54.71,54.71,54.71,54.71,38.47,38.47,38.47,38.47,38.47,38.47,38.47,38.47,38.47,38.47,38.47,38.47,38.47,38.47,38.47,81.66,81.66,81.66,81.66,81.66,81.66,81.66,81.66,81.66,81.66,29.91
all-mpnet-base-v2,50.0,57.777767857142884,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,65.07,65.07,65.07,65.07,65.07,65.07,65.07,65.07,65.07,65.07,65.07,65.07,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,83.04,83.04,83.04,59.36,59.36,59.36,59.36,43.81,43.81,43.81,43.81,43.81,43.81,43.81,43.81,43.81,43.81,43.81,43.81,43.81,43.81,43.81,80.28,80.28,80.28,80.28,80.28,80.28,80.28,80.28,80.28,80.28,27.49
sgpt-bloom-7b1-msmarco,51.0,57.59062500000004,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,57.59,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93,81.9,81.9,81.9,55.65,55.65,55.65,55.65,48.22,48.22,48.22,48.22,48.22,48.22,48.22,48.22,48.22,48.22,48.22,48.22,48.22,48.22,48.22,77.74,77.74,77.74,77.74,77.74,77.74,77.74,77.74,77.74,77.74,33.6
jina-embedding-l-en-v1,52.0,57.38151785714296,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,67.76,67.76,67.76,67.76,67.76,67.76,67.76,67.76,67.76,67.76,67.76,67.76,37.15,37.15,37.15,37.15,37.15,37.15,37.15,37.15,37.15,37.15,37.15,84.8,84.8,84.8,56.42,56.42,56.42,56.42,44.81,44.81,44.81,44.81,44.81,44.81,44.81,44.81,44.81,44.81,44.81,44.81,44.81,44.81,44.81,80.96,80.96,80.96,80.96,80.96,80.96,80.96,80.96,80.96,80.96,29.85
SGPT-2.7B-weightedmean-msmarco-specb-bitfit,53.0,57.17205357142858,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,39.83,39.83,39.83,39.83,39.83,39.83,39.83,39.83,39.83,39.83,39.83,80.65,80.65,80.65,54.67,54.67,54.67,54.67,46.54,46.54,46.54,46.54,46.54,46.54,46.54,46.54,46.54,46.54,46.54,46.54,46.54,46.54,46.54,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,31.03
sentence-t5-large,54.0,57.060089285714234,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,57.06,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,41.65,41.65,41.65,41.65,41.65,41.65,41.65,41.65,41.65,41.65,41.65,84.97,84.97,84.97,54.0,54.0,54.0,54.0,36.71,36.71,36.71,36.71,36.71,36.71,36.71,36.71,36.71,36.71,36.71,36.71,36.71,36.71,36.71,81.83,81.83,81.83,81.83,81.83,81.83,81.83,81.83,81.83,81.83,29.64
